company_name,investor_name,funded_at,amount_usd
Digg,Greylock Partners,2006-12-01,8500000
Digg,Omidyar Network,2006-12-01,8500000
Facebook,Peter Thiel,2004-09-01,500000
Facebook,Reid Hoffman,2004-09-01,500000
Facebook,Accel Partners,2005-05-01,12700000
Facebook,Mark Pincus,2005-05-01,12700000
Facebook,Reid Hoffman,2005-05-01,12700000
Facebook,Greylock Partners,2006-04-01,27500000
Facebook,Meritech Capital Partners,2006-04-01,27500000
Facebook,Founders Fund,2006-04-01,27500000
Facebook,SV Angel,2006-04-01,27500000
Photobucket,Trinity Ventures,2006-05-01,10500000
Photobucket,Chris Sacca,2006-05-01,10500000
Geni,Founders Fund,2007-01-01,1500000
Geni,Charles River Ventures,2007-03-01,10000000
StumbleUpon,First Round Capital,2005-12-01,1500000
StumbleUpon,Ram Shriram,2005-12-01,1500000
StumbleUpon,Mitch Kapor,2005-12-01,1500000
StumbleUpon,Ron Conway,2005-12-01,1500000
Gizmoz,Benchmark,2007-05-01,6300000
Gizmoz,Columbia Capital,2007-05-01,6300000
Scribd,Y Combinator,2006-06-01,12000
Scribd,The Kinsey Hills Group,2007-01-01,40000
Slacker,Centennial Ventures,2007-06-01,40000000
Slacker,Mission Ventures,2007-06-01,40000000
Slacker,Sevin Rosen Funds,2007-06-01,40000000
Slacker,Rho Capital Partners,2007-06-01,40000000
Slacker,Austin Ventures,2007-06-01,13500000
Slacker,Mission Ventures,2007-06-01,13500000
Slacker,Sevin Rosen Funds,2007-06-01,13500000
Scribd,The Kinsey Hills Group,2007-06-01,3710000
Scribd,Redpoint Ventures,2007-06-01,3710000
Scribd,Marc Andreessen,2007-06-01,3710000
Scribd,David Sacks,2007-06-01,3710000
Scribd,Jeffrey Jordan,2007-06-01,3710000
Scribd,Craig Sherman,2007-06-01,3710000
Lala,Bain Capital Ventures,2007-01-01,5700000
Lala,Ignition Partners,2007-01-01,5700000
Babelgum,Silvio Scaglia,2005-06-01,13200000
MeetMoi,Acadia Woods Partners,2007-06-01,1500000
Joost,Sequoia Capital,2007-05-09,45000000
Joost,Index Ventures,2007-05-09,45000000
Joost,Li Ka-shing,2007-05-09,45000000
Plaxo,Sequoia Capital,2002-11-01,3800000
Plaxo,SV Angel,2002-11-01,3800000
Plaxo,Sequoia Capital,2003-07-01,8500000
Plaxo,Harbinger Ventures,2003-07-01,8500000
Plaxo,Globespan Capital Partners,2003-07-01,8500000
Powerset,Foundation Capital,2007-06-01,12500000
Powerset,Founders Fund,2007-06-01,12500000
Powerset,Bezos Expeditions,2007-06-01,12500000
Powerset,Scott Banister,2007-06-01,12500000
Powerset,Reid Hoffman,2007-06-01,12500000
Technorati,August Capital,2006-06-01,10520000
Technorati,Draper Fisher Jurvetson (DFJ),2006-06-01,10520000
Technorati,Mobius Venture Capital,2006-06-01,10520000
Technorati,Draper Fisher Jurvetson (DFJ),2004-09-01,6500000
AddThis,Novak Biddle Venture Partners,2006-05-01,2500000
AddThis,ZG Ventures,2006-05-01,2500000
AddThis,Novak Biddle Venture Partners,2007-02-01,5500000
AddThis,ZG Ventures,2007-02-01,5500000
AddThis,Revolution LLC,2007-02-01,5500000
AddThis,Mark Jung,2007-02-01,5500000
AddThis,Steve Case,2007-02-01,5500000
AddThis,Ted Leonsis,2007-02-01,5500000
Plaxo,Sequoia Capital,2004-04-01,7000000
Plaxo,Globespan Capital Partners,2004-04-01,7000000
Plaxo,Cisco,2004-04-01,7000000
Plaxo,Yahoo!,2004-04-01,7000000
Plaxo,DAG Ventures,2007-02-01,9000000
